

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
12/03/2025,"YOU BOUGHT EX-DIV DATE 12/08/25RECORD DATE 12/08/25PAYABLE DTE 12/15/25 ALPHABET INC CAP STK CL A (GOOGL) (Cash)",GOOGL,"ALPHABET INC CAP STK CL A",Cash,320.85,0.805,,,,-258.28,-233.68,12/04/2025
12/03/2025,"YOU SOLD RTX CORPORATION COM USD1.00 (RTX) (Cash)",RTX,"RTX CORPORATION COM USD1.00",Cash,168.26,-0.75,,,,126.19,126.90,12/04/2025
11/21/2025,"YOU BOUGHT NVIDIA CORPORATION COM (NVDA) (Cash)",NVDA,"NVIDIA CORPORATION COM",Cash,183.47,0.272,,,,-49.9,0.15,11/24/2025
06/27/2025,"Electronic Funds Transfer Received (Cash)", ,"No Description",Cash,,0.000,,,,50,354.90,
07/03/2025,"Electronic Funds Transfer Paid (Cash)",,"No Description",Cash,,0.000,,,,-357,0.18,
04/04/2025,"YOU BOUGHT NVIDIA CORPORATION COM (NVDA) (Cash)",NVDA,"NVIDIA CORPORATION COM",Cash,94.09,1,,,,-94.09,0.01,04/07/2025
04/04/2025,"YOU BOUGHT NVIDIA CORPORATION COM (NVDA) (Cash)",NVDA,"NVIDIA CORPORATION COM",Cash,94.09,1,,,,-94.09,94.10,04/07/2025
02/28/2025,"MERGER MER PAYOUT #REORCM0051641410000 MATTERPORT INC COM CL A *EXCHANGED F... (577096100) (Cash)",577096100,"MATTERPORT INC COM CL A *EXCHANGED FOR ",Cash,2.75,-2.017,,,,5.55,276.89,
02/28/2025,"MERGER MER FROM 577096100#REOR M0051641410002 COSTAR GROUP INC (CSGP) (Cash)",CSGP,"COSTAR GROUP INC",Shares,,0.072,,,,5.49,271.34,
12/31/2024,"REINVESTMENT FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,1,1.21,,,,-1.21,473.58,
12/31/2024,"DIVIDEND RECEIVED FIDELITY GOVERNMENT MONEY MARKET (SPAXX) (Cash)",SPAXX,"FIDELITY GOVERNMENT MONEY MARKET",Cash,,0.000,,,,1.21,473.58,
09/03/2024,"DIVIDEND RECEIVED as of Sep-01-2024 INTEL CORP COM USD0.001 (INTC) (Cash)",INTC,"INTEL CORP COM USD0.001",Cash,,0.000,,,,1,203.77,
08/05/2024,"YOU BOUGHT AMC ENTMT HLDGS INC CL A NEW (AMC) (Cash)",AMC,"AMC ENTMT HLDGS INC CL A NEW",Cash,4.94,15,,,,-74.1,198.24,08/06/2024
07/29/2023,"REVERSE SPLIT R/S FROM 00165C104 AMC ENTMT HLDGS INC CL A (00165C302) (Cash)",00165C302,"AMC ENTMT HLDGS INC CL A NEW",Shares,,5,,,,,0.00,
07/29/2023,"REVERSE SPLIT R/S TO 00165C302 AMC ENTMT HLDGS INC CL A (00165C104) (Cash)",00165C104,"AMC ENTMT HLDGS INC CL A",Shares,,-50,,,,,0.00,



"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security or insurance product by Fidelity or any third party."

Date downloaded 06/11/2026 12:54 am
