"Transactions  for account Individual ...123 as of 06/01/2026 21:01:31 ET"
"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount"
"05/16/2025","Sell to Close","AMC 01/16/2026 5.00 C","CALL AMC ENTERTAINMENT HOLDINGS INC $5 EXP 01/16/26","2","$0.61","$1.32","$120.68"
"04/07/2025","Buy to Open","AMC 01/16/2026 5.00 C","CALL AMC ENTERTAINMENT HOLDINGS INC $5 EXP 01/16/26","2","$0.85","$1.33","-$171.33"
"03/21/2025","Sell to Open","F 04/17/2025 9.00 P","PUT FORD MOTOR CO $9 EXP 04/17/25","1","$0.32","$0.66","$31.34"
"04/17/2025 as of 04/16/2025","Expired","F 04/17/2025 9.00 P","PUT FORD MOTOR CO $9 EXP 04/17/25","1","","",""
"02/10/2025","Sell to Open","NVDA 02/21/2025 120.00 P","PUT NVIDIA CORP $120 EXP 02/21/25","1","$2.05","$0.66","$204.34"
"02/21/2025","Assigned","NVDA 02/21/2025 120.00 P","PUT NVIDIA CORP $120 EXP 02/21/25","1","","",""
"02/21/2025","Buy","NVDA","NVIDIA CORP","100","$120.00","","-$12000.00"
"01/15/2025","Buy","AMC","AMC ENTERTAINMENT HOLDINGS INC","10","$3.32","","-$33.20"
"01/10/2025","MoneyLink Transfer","","Tfr SCHWAB BANK","","","","$500.00"
"01/02/2025","Credit Interest","","SCHWAB1 INT 12/01-12/31","","","","$0.42"
"Transactions Total","","","","","","","-$11347.75"
