Account Statement for 865-XXXXX1 (Margin) since 1/1/25 through 6/1/26

Cash Balance
DATE,TIME,TYPE,REF #,DESCRIPTION,MISC FEES,COMMISSIONS & FEES,AMOUNT,BALANCE
1/2/25,01:30:00,BAL,,Cash balance at the start of period,,,,1000.00
1/15/25,10:30:15,TRD,12345,BOT +1 VERTICAL SPY 100 21 FEB 25 580/590 CALL @2.05,0.10,-1.30,-205.00,793.60
6/1/26,16:00:00,BAL,,Cash balance at the end of period,,,,1543.21

Account Trade History
,Exec Time,Spread,Side,Qty,Pos Effect,Symbol,Exp,Strike,Type,Price,Net Price,Order Type
,1/15/25 10:30:15,VERTICAL,BUY,+1,TO OPEN,SPY,21 FEB 25,580,CALL,3.10,2.05,LMT
,,,SELL,-1,TO OPEN,SPY,21 FEB 25,590,CALL,1.05,,LMT
,2/10/25 14:02:09,VERTICAL,SELL,-1,TO CLOSE,SPY,21 FEB 25,580,CALL,5.40,4.10,LMT
,,,BUY,+1,TO CLOSE,SPY,21 FEB 25,590,CALL,1.30,,LMT
,3/3/25 09:35:00,SINGLE,SELL,-2,TO OPEN,AMC,16 JAN 26,5,CALL,0.45,0.45,LMT
,4/22/25 11:00:00,SINGLE,BUY,+2,TO CLOSE,AMC,16 JAN 26,5,CALL,0.20,0.20,LMT
,5/5/25 15:59:59,SINGLE,BUY,+100,TO OPEN,F,,,STOCK,9.85,9.85,LMT

Profits and Losses
Symbol,Description,P/L Open,P/L %,P/L Day,P/L YTD,P/L Diff,Margin Req
SPY,SPDR S&P 500,0.00,0.00%,0.00,205.00,0.00,0.00

Account Summary
Net Liquidating Value,$1543.21
